"stratum","n","mean","sd","se","cv_pct","boot_lo","boot_hi","t_lo","t_hi","trustworthy","scenario","window","n_excluded_lower_bound","excluded_cores"
"FS_2025_mineral",5,5.257327041576,2.36380561257873,1.05712600706431,44.9621184660052,3.418816281206,7.095837801946,2.322274713685,8.192379369467,FALSE,"as_supplied","common_support",0,""
"PM_2024_peat",3,3.08258454166667,0.37352160279277,0.215652797920547,12.1171568125369,2.7220705,3.467879625,2.15470544201572,4.01046364131762,FALSE,"as_supplied","common_support",0,""
"STUDY AREA (area-weighted)",8,3.18474604526147,,0.211436727164797,,2.77033006001846,3.59916203050447,,,FALSE,"as_supplied","common_support",0,""
"FS_2025_mineral",5,8.3462181727,3.78178296344898,1.6912647564845,45.3113360470131,5.80741344864,11.53064709464,3.65051441796507,13.0419219274349,FALSE,"as_supplied","reference_0_30",2,"PM-01-A;PM-02-A"
"PM_2024_peat",1,10.01686145,,,,,,,,FALSE,"as_supplied","reference_0_30",2,"PM-01-A;PM-02-A"
"STUDY AREA (area-weighted)",6,9.9383806969055,,0.0794494752857192,,9.78265972534549,10.0941016684655,,,FALSE,"as_supplied","reference_0_30",2,"PM-01-A;PM-02-A"
"FS_2025_mineral",5,5.257327041576,2.36380561257873,1.05712600706431,44.9621184660052,3.418816281206,7.095837801946,2.322274713685,8.192379369467,FALSE,"harmonised_peat","common_support",0,""
"PM_2024_peat",3,2.70992355161523,0.328365686249084,0.189582017348545,12.1171568125368,2.39299291143487,3.0486393942899,1.8942179671591,3.52562913607135,FALSE,"harmonised_peat","common_support",0,""
"STUDY AREA (area-weighted)",8,2.82959131495175,,0.187376567961054,,2.46233324174809,3.19684938815542,,,FALSE,"harmonised_peat","common_support",0,""
"FS_2025_mineral",5,8.3462181727,3.78178296344898,1.6912647564845,45.3113360470131,5.80741344864,11.53064709464,3.65051441796507,13.0419219274349,FALSE,"harmonised_peat","reference_0_30",2,"PM-01-A;PM-02-A"
"PM_2024_peat",1,8.80589920234438,,,,,,,,FALSE,"harmonised_peat","reference_0_30",2,"PM-01-A;PM-02-A"
"STUDY AREA (area-weighted)",6,8.78430505721481,,0.0794494752857192,,8.6285840856548,8.94002602877482,,,FALSE,"harmonised_peat","reference_0_30",2,"PM-01-A;PM-02-A"
