"window","candidate","label","n","loco_rmse","loco_r2","loco_bias","loco_cover","loso_rmse","loso_r2","loso_cover","loso_n","sbuf_rmse","sbuf_r2","sbuf_cover","sbuf_folds_used","sbuf_folds_skipped"
"common_support","N","NULL: observed mean",8,2.26768483704309,-0.306122448979592,-5.55111512312578e-17,1,2.74921316468539,-0.919708692589615,1,8,2.41376911191827,-0.479823612069617,1,8,0
"common_support","S","S: stratum mean (design-based; Product 2 from 05)",8,2.10802599701577,-0.12867895291617,1.11022302462516e-16,1,2.74921316468539,-0.919708692589615,1,8,2.39606325260157,-0.458193167221494,1,8,0
"common_support","A","A: random forest on environmental covariates",8,2.09751673130871,-0.117453266043226,-0.375756265094609,1,2.55278482925518,-0.655186449289575,1,8,2.1530771229989,-0.17743698805619,1,8,0
"common_support","P","P: published map alone (sothe2022_soc_0_30_kgm2)",8,33.5260204057308,-321.089473139833,32.0677742906157,0.875,,,0.875,7,33.5260204057308,-321.089473139833,0.875,8,0
"common_support","B","B: random forest, published maps as covariates",8,1.94349640184775,0.0406303318297369,-0.425780277105836,1,2.57027369788359,-0.677943162402531,1,8,2.08843716486999,-0.107799916028503,1,8,0
"common_support","C","C: published map + distance-weighted residual",8,24.2238949877839,-167.151393687244,20.2091422826713,0.875,,,0.875,7,30.8581792264367,-271.868318862474,0.875,8,0
"reference_0_30","N","NULL: observed mean",6,3.77994932232234,-0.44,-2.95987193088543e-16,1,,,0.166666666666667,1,3.79655965422853,-0.452683467201169,1,6,0
"reference_0_30","S","S: stratum mean (design-based; Product 2 from 05)",6,3.91956234485951,-0.548337709228079,-0.278440546216667,1,,,0.166666666666667,1,3.92064479687002,-0.549193025483607,1,6,0
"reference_0_30","A","A: random forest on environmental covariates",6,3.74636935393018,-0.414528564365152,-0.655503005415983,1,,,0.166666666666667,1,3.69366510920538,-0.375009097345921,1,6,0
"reference_0_30","P","P: published map alone (sothe2022_soc_0_30_kgm2)",6,30.3405975091893,-76.3419344801527,27.53663772522,0.833333333333333,,,0.166666666666667,1,30.3405975091893,-76.3419344801527,0.833333333333333,6,0
"reference_0_30","B","B: random forest, published maps as covariates",6,3.63017411777247,-0.328144871382133,-0.50065691944655,1,,,0.166666666666667,1,3.61745462425984,-0.31885400328864,1,6,0
"reference_0_30","C","C: published map + distance-weighted residual",6,29.2419761268079,-70.8422968137654,24.7901560481341,0.833333333333333,,,0.166666666666667,1,29.2419761268079,-70.8422968137654,0.833333333333333,6,0
