OID_,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,CARB_ORG,CACO3_EQ,PH_H2O,PH_CACL2,EXCH_AL,EXCH_CA,EXCH_H,EXCH_K,EXCH_MG,EXCH_NA,EXCH_PCHRG,CEC,BASE_SATN,X_ACIDITY,NO3,P_INORG,P_ORG,N_TOTAL,AVAIL_K,CALCITE,DOLOMITE
1,0281097,3,18,33,0.41, , ,8.9, , , , , , , , , , , , , ,1.58, , , 
2,0750002,5,55,100, ,1.5, ,8.9, , , , , , , , , , , , , ,0.19, , , 
3,0770004,5,37,50, ,2.40, ,8.9, , , , , , , , , , , , , , , , , 
4,0042928,2,31,61, , , ,8.8, , , , , , , ,5.1, , , , , ,0.02, ,6.8,53
5,0042941,5,48, , , , ,8.8, , , , , , , , , , , , , ,9, , , 
6,0043884,4,30,55, , , ,8.8, , , , , , , ,21.4,5.5, , , , ,9, ,12.3,4.3
7,0282732,1,0,20,0.1, , ,8.8, ,0.88, ,0.02,0.01,0.01, , , , , , , ,0.01, , , 
8,0500721,1,0,20,0.1, , ,8.8, , , , , , , , , , , , , , , , , 
9,0042941,4,36,48, , , ,8.7, , , , , , , , , , , , , ,9, , , 
10,0043837,4,37,55, , , ,8.7, , , , , , , ,11.4,46, , , , ,9, ,21.6,9.8
11,0126867,6,16,45,3.22, , ,8.7, , , , , , , , , , , , , ,0.05, , , 
12,0150106,6,46,60, ,8.96,7,8.7, ,3.54, ,0.1,8.1, , , , , , , , ,0.72, , , 
13,0150106,7,60,80, ,2.48,6,8.7, ,1.63, ,0.05,2.26, , , , , , , , ,0.72, , , 
14,0150179,5,63,91,0.06,0.4,8.7,8.7, , , , , , , , , , , , , ,0.05, , , 
15,0150179,6,91,100,0.06,0.2,8.7,8.7, , , , , , , , , , , , , ,0.05, , , 
16,0150171,5,77,100,0.6, ,7.46,8.66, , , , , , , , , , , , , ,0.58, , , 
17,0150170,5,35,60, ,19.65,7.9,8.62, , , , , , , , , , , , , ,1.03, , , 
18,0042710,4,77, ,0.1, , ,8.6, , , , , , , , , , , , , ,9, ,1.4,1
19,0043046,3,61, ,0.89, , ,8.6, , , , , , , , , , , , , ,9, ,30.5,14
20,0043601,4,37,55,0.6, , ,8.6, , , , , , , ,12.3,38, , , , ,0.1, ,27.3,11.5
21,0043844,4,38,80, , , ,8.6, , , , , , , ,20.4,46, , , , ,9, ,17.2,8.7
22,0126867,5,12,16,3.26, , ,8.6, , , , , , , , , , , , , ,0.14, , , 
23,0126867,7,45,64,1.8, , ,8.6, , , , , , , , , , , , , ,0.04, , , 
24,0150179,4,38,63,0.17,0.2,8.6,8.6, , , , , , , , , , , , , ,0.05, , , 
25,0281049,7,68.5,84,0.38, , ,8.6, , , , , , , , , , , , , ,1.01, , , 
26,0281049,8,84,100,0.39, , ,8.6, , , , , , , , , , , , , ,1.01, , , 
27,0750002,4,28,55, ,0.2, ,8.6, , , , , , , , , , , , , ,0.19, , , 
28,0770004,6,50,67, ,1.57, ,8.6, , , , , , , , , , , , , , , , , 
29,0770004,7,67, , ,2.74, ,8.6, , , , , , , , , , , , , , , , , 
30,0150161,5,44,59, ,26.76,7.2,8.53, , , , , , , , , , , , , ,0.75, , , 
31,0043593,3,26,40, , , ,8.5, , , , , , , ,10.7, , , , , ,9, ,32.3,18.5
32,0043593,4,40,63, , , ,8.5, , , , , , , ,10.4,34, , , , ,9, ,24.1,20.8
33,0043595,2,29,80,0.7, , ,8.5, , , , , , , ,25.2,60, , , , ,0.1, ,16.8,6.6
34,0043601,3,28,37,1.1, , ,8.5, , , , , , , ,17, , , , , ,0.1, ,21,6.3
35,0044319,5,58,72, , , ,8.5, ,30.7, ,0.3,17.3,11.7, ,25.4,55.5, , , , ,9, ,17.9,4.9
36,0044335,5,46,68, , , ,8.5, ,20.2, ,0.1,17,1.4, ,19.9,47.6, , , , ,9, ,13,6.5
37,0126867,2,0,7,5.48, , ,8.5, , , , , , , , , , , , , ,0.5, , , 
38,0150122,4,11,12,0.93, ,7.7,8.5,0.45,5.35, ,0.14,0.77, , , , , , , , ,1.07, , , 
39,0281089,5,53.5,76,0.11, , ,8.5, , , , , , , , , , , , , ,0.73, , , 
40,0281097,4,33,63.5,0.25, , ,8.5, , , , , , , , , , , , , ,1.58, , , 
41,0281246,7,91.5,100, , , ,8.5, , , , , , , , , , , , , ,0.08, , , 
42,0660002,4,40,92,0.27,7.56, ,8.5, ,9.43, ,0.65,16.17,0.59, ,17.3, , , , , ,0.66,183, , 
43,0750009,4,56,100, ,11.5, ,8.5, , , , , , , , , , , , , ,0.16, , , 
44,0020310,6,75,90, , , ,8.4, , , , , , , , , , , , , ,9, , , 
45,0042941,3,31,36,1.2, , ,8.4, , , , , , , , , , , , , ,9, , , 
