OID_,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,MIN_THICK,MAX_THICK,BNDRY_DIST,BNDRY_FORM,HZN_MAS,HZN_SUF,HZN_MOD,HZN_LIT
1,0020118,1,0,3, , , , ,A,h, , 
2,0020118,2,3,8, , , , ,A,e, , 
3,0020118,3,8,18, , , , ,B,nt,1, 
4,0020118,4,18,25, , , , ,B,nt,2, 
5,0020118,5,25,40, , , , ,B,tk, , 
6,0020118,6,40,60, , , , ,B,ck, , 
7,0020118,7,60,78, , , , ,C,k,1, 
8,0020118,8,78,93, , , , ,C,k,2,2
9,0020118,9,93, , , , , ,C,k,3,3
10,0020120,1,0,7, , , , ,A,h, , 
11,0020120,2,7,12, , , , ,A,he, , 
12,0020120,3,12,17, , , , ,A,e, , 
13,0020120,4,17,26, , , , ,B,nt,1, 
14,0020120,5,26,38, , , , ,B,nt,2, 
15,0020120,6,38,61, , , , ,BC, , , 
16,0020120,7,61,79, , , , ,C,k,1, 
17,0020120,8,79, , , , , ,C,k,2, 
18,0020294,1,0,14, ,5, , ,A,p, , 
19,0020294,2,14,29,3,9, , ,B,m, , 
20,0020294,3,29,62, ,5, , ,C,ca, , 
21,0020294,4,62,106, , , , ,C,ks,1, 
22,0020294,5,106,140, , , , ,C,ks,2, 
23,0020295,1,0,16,4,8, , ,A,p, , 
24,0020295,2,16,40,2,5, , ,C,g, , 
25,0020295,3,40,62, ,5, , ,C,kg,1, 
26,0020295,4,62,78,5,7, , ,C,kg,1,2
27,0020295,5,78,120, , , , ,C,kg,2,2
28,0020297,1,0,13, ,7, , ,A,p, , 
29,0020297,2,13,34,5,5, , ,C,ca,1, 
30,0020297,3,34,61, ,6, , ,C,ca,2, 
31,0020297,4,61, , , , , ,C,k, , 
32,0020300,1,0,23,6,5, , ,A,h, , 
33,0020300,2,23,50,8,6, , ,B,mk, , 
34,0020300,3,50,65,6,4, , ,C,ca, , 
35,0020300,4,65, , , , , ,C,k, , 
36,0020301,1,0,11,8,2, , ,A,p, , 
37,0020301,2,11,22, ,2, , ,B,m, , 
38,0020301,3,22,48,4,2, , ,C,k,1, 
39,0020301,4,48,70,8,8, , ,C,k,2, 
40,0020301,5,70,92, , , , ,C,k,3, 
41,0020302,1,0,14, ,5, , ,A,p, , 
42,0020302,2,14,24,7,2, , ,B,m, , 
43,0020302,3,24,54, , , , ,C,ca,2, 
44,0020302,4,54,74,8,4, , ,C,k,1, 
45,0020302,5,74,106, , , , ,C,k,2, 
46,0020303,1,0,16,3,7, , ,A,p, , 
47,0020303,2,16,28, ,6, , ,B,m, , 
48,0020303,3,28,62, ,8, , ,C,ca, , 
49,0020303,4,62,100, , , , ,C,k, , 
50,0020305,1,0,10,9,2, , ,A,p,1, 
51,0020305,2,10,15,3,7, , ,A,p,2, 
52,0020305,3,15,30, ,7, , ,B,m, , 
53,0020305,4,30,70,5, , , ,C,ca, , 
54,0020305,5,70, , , , , ,C,k, , 
55,0020306,1,0,14, ,6, , ,A,h, , 
56,0020306,2,14,28,6,6, , ,B,m, , 
57,0020306,3,28,38,2,1, , ,A,hb, , 
58,0020306,4,38,52,4,1, , ,B,mb, , 
59,0020306,5,52,63,7,5, , ,C,k,1, 
60,0020306,6,63,74,5,3, , ,C,k,2, 
61,0020306,7,74,100,3,8, , ,C,k,3, 
62,0020306,8,100,107, , , , ,C,k,4, 
63,0020307,1,0,12, ,5, , ,A,p, , 
64,0020307,2,12,40,8, , , ,B,m, , 
65,0020307,3,40,50,9,1, , ,C,ca, , 
66,0020307,4,50,70, , , , ,C,k, ,2
67,0020308,1,0,22, ,5, , ,A,p, , 
68,0020308,2,22,42,8,5, , ,B,m, , 
69,0020308,3,42,75, ,8, , ,C,ca, , 
70,0020308,4,75,105, ,5, , ,C,k,1,2
71,0020308,5,105,150, , , , ,C,k,2,2
72,0020310,1,0,10,9,1, , ,A,hsa,1, 
73,0020310,2,10,16,5,7, , ,A,hsa,2, 
74,0020310,3,16,35,9,1, , ,B,msa,1, 
75,0020310,4,35,50,3,7, , ,B,msa,2, 
76,0020310,5,50,75,3,9, , ,C,ksa,1, 
77,0020310,6,75,90,4,6, , ,C,ksa,2, 
78,0020310,7,90,120,8,1, , ,C,ksa,3, 
79,0020310,8,120,122,1,3, , ,C,sk,1, 
80,0020310,9,122,150, , , , ,C,sk,2, 
81,0020311,1,0,12, ,3, , ,A,p, , 
82,0020311,2,12,26,3,7, , ,B,m, , 
83,0020311,3,26,60, , , , ,C,ca, , 
84,0020311,4,60,98,5,5, , ,C,k,1, 
85,0020311,5,98,150, , , , ,C,k,2, 
86,0020398,1,0,20,6,6, , ,A,hk, , 
87,0020398,2,20,31,6,2, , ,B,mk, , 
88,0020398,3,31,60,5, , , ,C,ca,1,2
89,0020398,4,60,75, , , , ,C,k,2,2
90,0020401,1,0,11,9,3, , ,A,h, , 
91,0020401,2,11,21,6,9, , ,B,m, , 
92,0020401,3,21,55,3,7, , ,C,ca,1, 
93,0020401,4,55,120,5,7, , ,C,ca,2, 
94,0020401,5,120, , , , , ,C,ks, , 
95,0020403,1,0,14,4,9, , ,A,h, , 
96,0020403,2,14,29,1,5, , ,B,m, , 
97,0020403,3,29,50,2,3, , ,C,ca, , 
98,0020403,4,50,100, , , , ,C,k, , 
99,0020485,1,0,18, , , , ,A,h, , 
100,0020485,2,18,33, , , , ,A,he, , 
101,0020485,3,33,64, , , , ,B,t, , 
102,0020485,4,64,86, , , , ,BC, , , 
103,0020485,5,86,203, , , , ,C,ca, , 
104,0020485,6,203, , , , , ,C,k, , 
105,0020496,1,0,33, , , , ,A,h, , 
106,0020496,2,33,58, , , , ,B,m, , 
107,0020496,3,58, , , , , ,C,ca, , 
108,0020496,4,183, , , , , ,C,k, , 
109,0020507,1,0,3, , , , ,A,e,1, 
110,0020507,2,3,8, , , , ,B,m, , 
111,0020507,3,8,18, , , , ,A,e,2, 
112,0020507,4,18,28, , , , ,B,t,1, 
113,0020507,5,28,46, , , , ,B,t,2, 
114,0020507,6,46,56, , , , ,BC, , , 
115,0020507,7,56,86, , , , ,C, , ,2
116,0020540,1,-5,0, , , , ,LH, , , 
117,0020540,2,0,10, , , , ,A,e,1, 
118,0020540,3,10,20, , , , ,A,e,2, 
119,0020540,4,20,40, , , , ,AB, , , 
120,0020540,5,40,65, , , , ,B,t, , 
121,0020540,6,65,90, , , , ,C,k, , 
122,0020551,1,0,2, , , , ,A,h, , 
123,0020551,2,2,22, , , , ,A,e, , 
124,0020551,3,22,30, , , , ,B,t,1, 
125,0020551,4,30,78, , , , ,B,t,2, 
126,0020551,5,78,197, , , , ,BC, , , 
127,0020551,6,197,207, , , , ,C,ca, , 
