OID_,PROVINCE,DATASET_ID,PEDON_ID,CAL_YEAR,LOCALITY,CONF_METRS,ELEVATION,EXTENT,PURPOSE,CSSC_ORDER,CSSC_GTGRP,CSSC_SBGRP,CSSC_NAME,CSSC_CODE,TX_PHASE_1,TX_FIT,TX_FACTOR1,TX_FACTOR2,LANDUSE,DD_LAT_N,DD_LONG_N
1,alberta,050,0500001,2015, ,15, , , ,gleysol,gleysol,orthic,throne,thr, , , , , ,51.7293701,-111.9244003
2,alberta,050,0500002,2015, ,15, , , ,gleysol,gleysol,rego, , , , , , , ,51.7309608,-111.9260788
3,alberta,050,0500003,2015, ,15, , , ,chernozem,dark brown,orthic,scollard,scd, , , , , ,51.7320595,-111.9292374
4,alberta,050,0500004,2015, ,15, , , ,gleysol,gleysol,orthic,throne,thr, , , , , ,51.7324219,-111.9287109
5,alberta,050,0500005,2015, ,15, , , ,chernozem,dark brown,orthic,hughenden,hnd, , , , , ,51.7350006,-111.9336319
6,alberta,050,0500006,2015, ,15, , , ,chernozem,dark brown,orthic,dolcy,dcy, , , , , ,51.7206116,-111.9371185
7,alberta,050,0500007,2015, ,15, , , ,chernozem,dark brown,orthic,hughenden,hnd, , , , , ,51.7346611,-111.9201508
8,alberta,050,0500008,2015, ,15, , , ,chernozem,dark brown,calcareous,hughenden,hnd, , , , , ,51.7352791,-111.9211502
9,alberta,050,0500009,2015, ,15, , , ,gleysol,humic,orthic, , , , , , , ,51.7335396,-111.9221573
10,alberta,050,0500010,2015, ,15, , , ,chernozem,dark brown,gleyed, , , , , , , ,51.7331505,-111.9209976
11,alberta,050,0500012,2015, ,15, , , ,chernozem,dark brown,orthic,hughenden,hnd, , , , , ,51.7266808,-111.9244614
12,alberta,050,0500013,2015, ,15, , , ,chernozem,dark brown,orthic,dolcy,dcy, , , , , ,51.7269096,-111.9239731
13,alberta,050,0501051,2015, ,15, , , ,chernozem,black,orthic,beaverhills,bvh, , , , , ,54.0443382,-112.0869904
14,alberta,050,0501052,2015, ,15, , , ,gleysol,gleysol,rego, , , , , , , ,54.2018204,-112.3238983
15,alberta,050,0501053,2015, ,15, , , ,brunisol,eutric,eluviated,primula,prm, , , , , ,53.8788681,-111.1130600
