OID_,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,T_SAND,T_SILT,T_CLAY,VC_SAND,C_SAND,M_SAND,F_SAND,VF_SAND,FIBRE,BULK_DEN,RETN_HYGR,RETN_0KP,RETN_33KP,RETN_1500K
1,0020118,1,0,3,42,44,14,0,1,17,7,17, , , , , , 
2,0020118,2,3,8,44,45,11,0,2,19,6,16, , , , , , 
3,0020118,3,8,18,32,36,32,1,2,13,5,11, , , , , , 
4,0020118,4,18,25,29,29,42,1,2,12,5,9, , , , , , 
5,0020118,5,25,40,33,24,33,1,2,14,6,10, , , , , , 
6,0020118,6,40,60,39,35,26,0,3,16,8,11, , , , , , 
7,0020118,7,60,78,34,36,30,1,2,13,7,10, , , , , , 
8,0020118,8,78,93,61,22,17,0,1,35,11,14, , , , , , 
9,0020118,9,93, ,44,22,34,1,2,23,8,10, , , , , , 
10,0020120,1,0,7,29,35,36,0,2,12,7,7, , , , , , 
11,0020120,2,7,12,37,36,27,1,3,15,8,10, , , , , , 
12,0020120,3,12,17,50,39,11,1,3,22,10,14, , , , , , 
13,0020120,4,17,26,30,38,32,0,2,13,5,11, , , , , , 
14,0020120,5,26,38,20,61,19,0,1,7,2,10, , , , , , 
15,0020120,6,38,61,21,64,15,0,0,7,3,10, , , , , , 
16,0020120,7,61,79,19,69,12,0,1,6,2,9, , , , , , 
17,0020120,8,79, ,9,40,51, , , , , , , , , , , 
18,0020294,1,0,14,32,40,28, , , , , , , , , , , 
19,0020294,2,14,29,39,33,28, , , , , , , , , , , 
20,0020294,3,29,62,36,37,27, , , , , , , , , , , 
21,0020294,4,62,106,36,38,26, , , , , , , , , , , 
22,0020294,5,106,140,38,35,29, , , , , , , , , , , 
23,0020295,1,0,16,20,51,29, , , , , , , , , , , 
24,0020295,2,16,40,13,47,40, , , , , , , , , , , 
25,0020295,3,40,62,13,44,43, , , , , , , , , , , 
26,0020295,4,62,78,17,42,41, , , , , , , , , , , 
27,0020295,5,78,120,39,37,24, , , , , , , , , , , 
28,0020297,1,0,13,57,28,15, , , , , , , , , , , 
29,0020297,2,13,34,58,38,24, , , , , , , , , , , 
30,0020297,3,34,61,39,38,23, , , , , , , , , , , 
31,0020297,4,61, ,39,41,20, , , , , , , , , , , 
32,0020300,1,0,23,49,29,22, , , , , , , , , , , 
33,0020300,2,23,50,47,36,17, , , , , , , , , , , 
34,0020300,3,50,65,36,40,24, , , , , , , , , , , 
35,0020300,4,65, ,52,33,15, , , , , , , , , , , 
36,0020301,1,0,11,38,41,21, , , , , , , , , , , 
37,0020301,2,11,22,37,39,24, , , , , , , , , , , 
38,0020301,3,22,48,37,40,23, , , , , , , , , , , 
39,0020301,4,48,70,33,43,24, , , , , , , , , , , 
40,0020301,5,70,92,34,42,24, , , , , , , , , , , 
41,0020303,1,0,16,28,47,25, , , , , , , , , , , 
42,0020303,2,16,28,20,49,31, , , , , , , , , , , 
43,0020303,3,28,62,11,63,26, , , , , , , , , , , 
44,0020303,4,62,100,22,53,25, , , , , , , , , , , 
45,0020305,1,0,10,37,45,18, , , , , , , , , , , 
46,0020305,2,10,15,39,39,22, , , , , , , , , , , 
47,0020305,3,15,30,24,44,32, , , , , , , , , , , 
48,0020305,4,30,70,32,44,24, , , , , , , , , , , 
49,0020306,1,0,14,30,47,23, , , , , , , , , , , 
50,0020306,2,14,28,47,34,19, , , , , , , , , , , 
51,0020306,3,28,38,46,32,22, , , , , , , , , , , 
52,0020306,4,38,52,55,28,17, , , , , , , , , , , 
53,0020306,5,52,63,71,19,10, , , , , , , , , , , 
54,0020306,6,63,74,73,17,10, , , , , , , , , , , 
55,0020306,7,74,100,60,30,10, , , , , , , , , , , 
56,0020306,8,100,107,83,11,6, , , , , , , , , , , 
57,0020307,1,0,12,27,54,19, , , , , , , , , , , 
58,0020307,2,12,40,18,48,34, , , , , , , , , , , 
59,0020307,3,40,50,11,67,22, , , , , , , , , , , 
60,0020307,4,50,70,31,48,21, , , , , , , , , , , 
61,0020308,1,0,22,21,53,26, , , , , , , , , , , 
62,0020308,2,22,42,18,54,28, , , , , , , , , , , 
63,0020308,3,42,75,7,67,26, , , , , , , , , , , 
64,0020308,4,75,105,39,33,28, , , , , , , , , , , 
65,0020310,1,0,10,18,58,24, , , , , , , , , , , 
66,0020310,2,10,16,17,57,26, , , , , , , , , , , 
67,0020310,3,16,35,21,52,27, , , , , , , , , , , 
68,0020310,4,35,50,17,53,30, , , , , , , , , , , 
69,0020310,5,50,75,7,68,25, , , , , , , , , , , 
70,0020310,6,75,90,35,39,26, , , , , , , , , , , 
71,0020310,7,90,120,38,38,24, , , , , , , , , , , 
72,0020310,9,122,150,8,63,29, , , , , , , , , , , 
73,0020311,1,0,12,34,43,23, , , , , , , , , , , 
74,0020311,2,12,26,19,52,29, , , , , , , , , , , 
75,0020311,3,26,60,49,27,24, , , , , , , , , , , 
76,0020311,4,60,98,30,50,20, , , , , , , , , , , 
77,0020311,5,98,150,37,43,20, , , , , , , , , , , 
78,0020398,1,0,20,30,39,31,1,1,12,3,13, , , , , , 
79,0020398,2,20,31,36,36,28,1,2,15,4,14, , , , , , 
80,0020398,3,31,60,25,38,37,1,2,9,3,10, , , , , , 
81,0020401,1,0,11,48,31,21, , , , , , , , , , , 
82,0020401,2,11,21,50,30,20, , , , , , , , , , , 
83,0020401,3,21,55,36,40,24, , , , , , , , , , , 
84,0020401,4,55,120,27,48,25, , , , , , , , , , , 
85,0020401,5,120, ,27,45,28, , , , , , , , , , , 
86,0020403,1,0,14,49,39,12, , , , , , , , , , , 
87,0020403,2,14,29,53,28,19,1,3,24,7,18, , , , , , 
88,0020403,3,29,50,47,36,17, , , , , , , , , , , 
