OID_,PEDON_ID,DRAINAGE,PM1_MD_DEP,PM1_PHYS,PM1_LIT_MD,PM1_CHEM,PM1_WEATHR,PM2_MD_DEP,PM2_PHYS,PM2_LIT_MD,PM2_CHEM,PM2_WEATHR,HUMUS_FORM,TABLE_KIND,TABLE_DPTH,ROCK_DPTH,CACO3_DPTH
1,0020118,moderately well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone, ,unspecified, , , , , ,terrestrial, , , , 
2,0020120,moderately well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone, ,unspecified, , , , , ,terrestrial, , , , 
3,0020294,well drained,morainal till,fine loamy and fine silty,mixed,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
4,0020295,poorly drained,lacustrine,clayey,sedementary - siltstone and mudstone,weakly calcareous,chemical and physical,lacustrine,clayey, ,moderately to very strongly calcareous,chemical and physical, , , , , 
5,0020297,well drained, ,fine loamy and fine silty,sedementary - siltstone and mudstone,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
6,0020300,well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
7,0020301,well drained,morainal till,fine loamy and fine silty,undifferentiated,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
8,0020302,well drained,morainal till,fine loamy and fine silty,undifferentiated,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
9,0020303,well drained,morainal till,fine loamy and fine silty,mixed,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
10,0020305,well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
11,0020306,well drained,fluvial,coarse loamy and coarse silty,undifferentiated,weakly calcareous,unspecified, , , , , , , , , , 
12,0020307,well drained,fluvio-lacustrine,fine loamy and fine silty,undifferentiated,moderately to very strongly calcareous,unspecified,morainal till,fine loamy and fine silty, ,moderately to very strongly calcareous,unspecified, , , , , 
13,0020308,well drained,fluvio-lacustrine,fine loamy and fine silty,undifferentiated,weakly calcareous,unspecified,morainal till,fine loamy and fine silty, ,moderately to very strongly calcareous,unspecified, , , , , 
14,0020310,moderately well drained,fluvio-lacustrine,fine loamy and fine silty,sedementary - siltstone and mudstone,moderately to very strongly calcareous,chemical and physical, , , , , , ,perched, , , 
15,0020311,well drained,morainal till,fine loamy and fine silty,undifferentiated,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
16,0020398,well drained,lacustrine,fine loamy and fine silty,undifferentiated,moderately to very strongly calcareous,unspecified,morainal till,clayey, ,weakly calcareous,unspecified, , , , , 
17,0020401,well drained,morainal till,fine loamy and fine silty,mixed,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
18,0020403,well drained,fluvial,skeletal,mixed,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
19,0020485,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
20,0020496,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
21,0020507,well drained,glacio-fluvial, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
22,0020540, ,morainal till, ,undifferentiated, , , , , , , , , , , , 
23,0020551,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
24,0020605,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
25,0020611,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
26,0020612,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
27,0020625, ,glacio-fluvial, ,sedementary - siltstone and mudstone, , , , , , , , , , , , 
28,0020626, ,lacustrine, ,undifferentiated, , , , , , , , , , , , 
29,0020627, ,fluvial, ,undifferentiated, , , , , , , , , , , , 
30,0020631,well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
31,0020632,well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
32,0020633,well drained,residual, ,undifferentiated, , , , , , , , , , , , 
33,0020653,well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
34,0020656,well drained,glacio-fluvial, ,undifferentiated, , , , , , , , , , , , 
35,0020657,rapidly drained,eolian, ,undifferentiated, , , , , , , , , , , , 
36,0020658,well drained,eolian, ,undifferentiated, , , , , , , , , , , , 
37,0020659,well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
38,0020660,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
39,0020661,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
40,0020665,well drained,fluvial, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
41,0020666,moderately well drained,eolian, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
42,0020669,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
43,0020671,well drained,fluvial, ,undifferentiated, , ,lacustrine, ,undifferentiated, , , , , , , 
44,0020672,moderately well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
45,0020673,well drained,lacustrine, ,undifferentiated, , ,fluvial, ,undifferentiated, , , , , , , 
46,0020675,well drained,fluvio-lacustrine, ,undifferentiated, , , , , , , , , , , , 
47,0020681,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
48,0020687,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
49,0020690,well drained,fluvio-lacustrine, ,undifferentiated, , , , , , , , , , , , 
50,0020700,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
51,0020702,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
52,0020703,well drained,glacio-fluvial, ,undifferentiated, , , , , , , , , , , , 
53,0020707,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
54,0020710,poorly drained,lacustrine, ,undifferentiated, , ,fluvial, ,undifferentiated, , , , , , , 
55,0020711,moderately well drained,eolian, ,undifferentiated, , , , , , , , , ,1.4, , 
56,0020713,well drained,eolian, ,undifferentiated, , , , , , , , , , , , 
57,0020715,poorly drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
58,0020716,poorly drained,lacustrine, ,undifferentiated, , ,fluvial, ,undifferentiated, , , , , , , 
59,0020719, ,morainal till, ,undifferentiated, , , , , , , , , , , , 
60,0020723,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
61,0020725,moderately well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
62,0020726,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
