pedon_id,province,cal_year,latitude,longitude,conf_metrs,elevation,drainage,n_horizons,n_computable,has_organic_horizon,profile_top_cm,profile_bottom_cm,total_stock_Mgha,total_is_lower_bound,std_depth_cm,depth_datum,std_stock_Mgha,std_stock_complete,reaches_std_depth,any_bd,all_horizons_bd,flag_location_conf_poor
0020118,alberta,1976,50.661541,-112.0620193,150,852,moderately well drained,9,0,FALSE,0,93,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020120,alberta,1976,52.3238182,-113.9260635,150,843,moderately well drained,8,0,FALSE,0,79,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020294,alberta,1979,49.4922104,-112.1594086,15,1066,well drained,5,0,FALSE,0,140,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020295,alberta,1979,49.4224892,-112.1136398,15,1056,poorly drained,5,0,FALSE,0,120,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020297,alberta,1979,49.3792381,-112.2104797,15,1070,well drained,4,0,FALSE,0,61,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020300,alberta,1979,49.4090309,-112.2001877,15,1073,well drained,4,0,FALSE,0,65,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020301,alberta,1979,49.2997284,-111.9609375,15,1071,well drained,5,0,FALSE,0,92,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020302,alberta,1979,49.2263298,-112.0226974,15,1099,well drained,5,0,FALSE,0,106,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020303,alberta,1979,49.3502808,-112.0445404,15,1082,well drained,4,0,FALSE,0,100,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020305,alberta,1979,49.2687798,-112.1019287,15,1111,well drained,5,0,FALSE,0,70,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020306,alberta,1979,49.4385109,-112.1319275,15,1063,well drained,8,0,FALSE,0,107,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020307,alberta,1979,49.2958183,-112.0970306,15,1129,well drained,4,0,FALSE,0,70,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020308,alberta,1979,49.5833893,-112.2155228,15,1051,well drained,5,0,FALSE,0,150,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020310,alberta,1979,49.4522095,-112.3626785,15,1076,moderately well drained,9,0,FALSE,0,150,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020311,alberta,1979,49.4667397,-112.4251938,15,1076,well drained,5,0,FALSE,0,150,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020398,alberta,1979,49.6221619,-113.7599716,15,1013,well drained,4,0,FALSE,0,75,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020401,alberta,1980,49.1017113,-111.8612137,15,1116,well drained,5,0,FALSE,0,120,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020403,alberta,1980,49.1167717,-111.7655334,15,1076,well drained,4,0,FALSE,0,100,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020485,alberta,1953,52.1318703,-115.5328217,150,1090,well drained,6,0,FALSE,0,203,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020496,alberta,1953,51.8649597,-114.0541,150,1124,well drained,4,0,FALSE,0,58,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
0020507,alberta,1953,52.1926994,-114.8636322,150,1158,well drained,7,0,FALSE,0,86,NA,TRUE,30,profile_top,NA,FALSE,TRUE,FALSE,FALSE,FALSE
