year,Core Id,Sample Id,Latitude,Longitude,Depth,Bulk Density,OM,SOC,Organic Carbon Density (g/cm^2)
2024,PM-01-A,PM-01-A,56.098575,87.67978,14.5,0.0929,39.1,22.7,0.0210883
2024,PM-02-A,PM-02-A-1,56.0996361,87.65064,15.2,0.0827,39.1,22.7,0.0187729
2024,PM-02-A,PM-02-A-2,56.0996361,87.65064,5.5,0.2662,2.71,1.57,0.00417934
2024,PM-03-A,PM-03-A-1,56.1103556,87.67839,8.625,0.0501,62.9,36.5,0.0182865
2024,PM-03-A,PM-03-A-2,56.1103556,87.67839,8.75,0.0759,73.1,42.4,0.0321816
2024,PM-03-A,PM-03-A-3,56.1103556,87.67839,7.85,0.1459,67.1,38.9,0.0567551
2024,PM-03-A,PM-03-A-4,56.1103556,87.67839,5.5,0.2287,18.4,10.7,0.0244709
2025,FS-05,FS-05-1,56.079389,87.75622,10,0.279483076,15.6,8.6,0.024035545
2025,FS-05,FS-05-2,56.079389,87.75622,10,2.036520107,2.1,1.1,0.022401721
2025,FS-05,FS-05-3,56.079389,87.75622,10,1.624136903,1.6,0.9,0.014617232
2025,FS-04,FS-04-1,56.074278,87.79556,10,1.974657034,5.5,3.1,0.061214368
2025,FS-04,FS-04-2,56.074278,87.79556,10,0.996859459,3.2,1.8,0.01794347
2025,FS-04,FS-04-3,56.074278,87.79556,10,1.053735135,1.5,0.8,0.008429881
2025,FS-03,FS-03-1,56.128917,87.87181,10,2.063281932,1.8,1,0.020632819
2025,FS-03,FS-03-2,56.128917,87.87181,10,2.181432451,0.9,0.5,0.010907162
2025,FS-03,FS-03-3,56.128917,87.87181,10,2.136609922,0.8,0.5,0.01068305
2025,FS-02,FS-02-1,55.992611,87.62825,10,0.746665791,9.4,5.2,0.038826621
2025,FS-02,FS-02-2,55.992611,87.62825,10,1.49701405,3.5,1.9,0.028443267
2025,FS-02,FS-02-3,55.992611,87.62825,10,1.10304842,2.7,1.5,0.016545726
2025,FS-01,FS-01-1,55.965999,87.6282,10,1.762904698,5.4,3,0.052887141
2025,FS-01,FS-01-2,55.965999,87.6282,10,1.59386606,7.3,4.1,0.065348508
2025,FS-01,FS-01-3,55.965999,87.6282,10,1.434964496,3,1.7,0.024394396
