"layer","field","meaning","units"
"cores_qc","core_id","Core identifier as recorded in the field",""
"cores_qc","campaign","Field campaign: PM_2024_peat or FS_2025_mineral",""
"cores_qc","soil_type","Plain-language soil type",""
"cores_qc","year","Year of collection",""
"cores_qc","latitude","Latitude, decimal degrees, EPSG:4326",""
"cores_qc","longitude","Longitude, decimal degrees, EPSG:4326 (NEGATIVE = west)",""
"cores_qc","x_3978","Easting, metres, EPSG:3978 NAD83 / Canada Atlas Lambert","metres"
"cores_qc","y_3978","Northing, metres, EPSG:3978 NAD83 / Canada Atlas Lambert","metres"
"cores_qc","n_segments","Number of segments cut from this core",""
"cores_qc","core_cm","Total depth reached by this core, cm","cm"
"cores_qc","bd_min","Minimum bulk density in this core, g/cm3",""
"cores_qc","bd_max","Maximum bulk density in this core, g/cm3",""
"cores_qc","om_max_pct","Maximum organic matter in this core, percent","percent"
"cores_qc","soc_shal","Soil carbon over the shallow window every core reached, kg C/m2","kg C/m2"
"cores_qc","shal_cm","Depth of that shallow window, cm","cm"
"cores_qc","soc_30cm","Soil carbon over 0-30 cm, kg C/m2","kg C/m2"
"cores_qc","soc30_lb","1 if soc_30cm is a LOWER BOUND (core stopped before 30 cm)",""
"cores_qc","depth30_cm","Depth actually covered within the 0-30 cm window, cm","cm"
"cores_qc","peat_cm","Depth to the peat/mineral contact, cm","cm"
"cores_qc","peat_sta","How peat depth was determined: contact_observed, still_peat, no_peat",""
"cores_qc","n_flagged","Number of flagged segments in this core",""
"cores_qc","fs_dist_km","Distance from Fort Severn, km","km"
"segments_raw","sample_id","Segment identifier; trailing integer gives order down the core",""
"segments_raw","core_id","Core identifier as recorded in the field",""
"segments_raw","campaign","Field campaign: PM_2024_peat or FS_2025_mineral",""
"segments_raw","year","Year of collection",""
"segments_raw","seg_index","Position of this segment down the core (1 = surface)",""
"segments_raw","latitude","Latitude, decimal degrees, EPSG:4326",""
"segments_raw","longitude","Longitude, decimal degrees, EPSG:4326 (NEGATIVE = west)",""
"segments_raw","x_3978","Easting, metres, EPSG:3978 NAD83 / Canada Atlas Lambert","metres"
"segments_raw","y_3978","Northing, metres, EPSG:3978 NAD83 / Canada Atlas Lambert","metres"
"segments_raw","top_cm","Depth to the top of this segment, cm below the surface","cm"
"segments_raw","bot_cm","Depth to the bottom of this segment, cm below the surface","cm"
"segments_raw","thick_cm","Thickness of this segment, cm (the raw `Depth` column)","cm"
"segments_raw","bd_gcm3","Dry bulk density, g/cm3","g/cm3"
"segments_raw","om_pct","Organic matter, percent by dry mass","percent"
"segments_raw","soc_pct","Organic carbon, percent by dry mass (see README on conversion)","percent"
"segments_raw","cdens_gcm3","Carbon density, g C per cm3 of soil = bd_gcm3 x soc_pct/100","g/cm3"
"segments_raw","ocd_supp","The supplied 'Organic Carbon Density' value, unaltered",""
"segments_raw","ocd_ok","1 if the supplied value reconciles with our recomputation",""
"segments_raw","lon_fixed","1 if this row's longitude sign was corrected on ingest",""
"segments_raw","qc_flags","Quality-control flags, semicolon separated (see README)",""
"segments_raw","qc_n","Number of quality-control flags on this row",""
