"sample_id","core_id","campaign","year","seg_index","latitude","longitude","x_3978","y_3978","top_cm","bot_cm","thick_cm","bd_gcm3","om_pct","soc_pct","cdens_gcm3","ocd_supp","ocd_ok","lon_fixed","qc_flags","qc_n"
"FS-01-1","FS-01","FS_2025_mineral",2025,1,55.965999,-87.6282,449599.994753053,792274.128004433,0,10,10,1.762905,5.4,3,0.05288714,0.05288714,1,1,"LON_SIGN_REPAIRED;SEGMENT_INDEX_ABSENT",2
"FS-01-2","FS-01","FS_2025_mineral",2025,2,55.965999,-87.6282,449599.994753053,792274.128004433,10,20,10,1.593866,7.3,4.1,0.06534851,0.06534851,1,1,"LON_SIGN_REPAIRED",1
"FS-01-3","FS-01","FS_2025_mineral",2025,3,55.965999,-87.6282,449599.994753053,792274.128004433,20,30,10,1.434964,3,1.7,0.0243944,0.0243944,1,1,"LON_SIGN_REPAIRED",1
"FS-02-1","FS-02","FS_2025_mineral",2025,1,55.992611,-87.62825,449261.584136439,795154.542578503,0,10,10,0.746666,9.4,5.2,0.03882662,0.03882662,1,1,"LON_SIGN_REPAIRED",1
"FS-02-2","FS-02","FS_2025_mineral",2025,2,55.992611,-87.62825,449261.584136439,795154.542578503,10,20,10,1.497014,3.5,1.9,0.02844327,0.02844327,1,1,"LON_SIGN_REPAIRED",1
"FS-02-3","FS-02","FS_2025_mineral",2025,3,55.992611,-87.62825,449261.584136439,795154.542578503,20,30,10,1.103048,2.7,1.5,0.01654573,0.01654573,1,1,"LON_SIGN_REPAIRED",1
"FS-03-1","FS-03","FS_2025_mineral",2025,1,56.128917,-87.87181,432820.413364993,808221.739700062,0,10,10,2.063282,1.8,1,0.02063282,0.02063282,1,1,"BD_ABOVE_MAX;LON_SIGN_REPAIRED",2
"FS-03-2","FS-03","FS_2025_mineral",2025,2,56.128917,-87.87181,432820.413364993,808221.739700062,10,20,10,2.181432,0.9,0.5,0.01090716,0.01090716,1,1,"BD_ABOVE_MAX;LON_SIGN_REPAIRED",2
"FS-03-3","FS-03","FS_2025_mineral",2025,3,56.128917,-87.87181,432820.413364993,808221.739700062,20,30,10,2.13661,0.8,0.5,0.01068305,0.01068305,1,1,"BD_ABOVE_MAX;LON_SIGN_REPAIRED",2
"FS-04-1","FS-04","FS_2025_mineral",2025,1,56.074278,-87.79556,438103.419413416,802828.350942897,0,10,10,1.974657,5.5,3.1,0.06121437,0.06121437,1,1,"LON_SIGN_REPAIRED",1
"FS-04-2","FS-04","FS_2025_mineral",2025,2,56.074278,-87.79556,438103.419413416,802828.350942897,10,20,10,0.996859,3.2,1.8,0.01794347,0.01794347,1,1,"LON_SIGN_REPAIRED",1
"FS-04-3","FS-04","FS_2025_mineral",2025,3,56.074278,-87.79556,438103.419413416,802828.350942897,20,30,10,1.053735,1.5,0.8,0.00842988,0.00842988,1,1,"LON_SIGN_REPAIRED",1
"FS-05-1","FS-05","FS_2025_mineral",2025,1,56.079389,-87.75622,440422.084678538,803653.338230951,0,10,10,0.279483,15.6,8.6,0.02403554,0.02403554,1,1,"LON_SIGN_REPAIRED",1
"FS-05-2","FS-05","FS_2025_mineral",2025,2,56.079389,-87.75622,440422.084678538,803653.338230951,10,20,10,2.03652,2.1,1.1,0.02240172,0.02240172,1,1,"BD_ABOVE_MAX;LON_SIGN_REPAIRED",2
"FS-05-3","FS-05","FS_2025_mineral",2025,3,56.079389,-87.75622,440422.084678538,803653.338230951,20,30,10,1.624137,1.6,0.9,0.01461723,0.01461723,1,1,"LON_SIGN_REPAIRED",1
"PM-01-A","PM-01-A","PM_2024_peat",2024,1,56.098575,-87.67978,444809.157820941,806262.028485561,0,14.5,14.5,0.0929,39.1,22.7,0.0210883,0.0210883,1,1,"DUPLICATE_LAB_VALUES;LON_SIGN_REPAIRED;SINGLE_SEGMENT_CORE",3
"PM-02-A-1","PM-02-A","PM_2024_peat",2024,1,56.0996361,-87.65064,446558.634130876,806581.054702175,0,15.2,15.2,0.0827,39.1,22.7,0.0187729,0.0187729,1,1,"DUPLICATE_LAB_VALUES;LON_SIGN_REPAIRED",2
"PM-02-A-2","PM-02-A","PM_2024_peat",2024,2,56.0996361,-87.65064,446558.634130876,806581.054702175,15.2,20.7,5.5,0.2662,2.71,1.57,0.00417934,0.00417934,1,1,"LON_SIGN_REPAIRED",1
"PM-03-A-1","PM-03-A","PM_2024_peat",2024,1,56.1103556,-87.67839,444745.82670546,807546.795910764,0,8.625,8.625,0.0501,62.9,36.5,0.0182865,0.0182865,1,1,"LON_SIGN_REPAIRED",1
"PM-03-A-2","PM-03-A","PM_2024_peat",2024,2,56.1103556,-87.67839,444745.82670546,807546.795910764,8.625,17.375,8.75,0.0759,73.1,42.4,0.0321816,0.0321816,1,1,"LON_SIGN_REPAIRED",1
"PM-03-A-3","PM-03-A","PM_2024_peat",2024,3,56.1103556,-87.67839,444745.82670546,807546.795910764,17.375,25.225,7.85,0.1459,67.1,38.9,0.0567551,0.0567551,1,1,"LON_SIGN_REPAIRED",1
"PM-03-A-4","PM-03-A","PM_2024_peat",2024,4,56.1103556,-87.67839,444745.82670546,807546.795910764,25.225,30.725,5.5,0.2287,18.4,10.7,0.0244709,0.0244709,1,1,"LON_SIGN_REPAIRED",1
