"pedon_id","province","cal_year","latitude","longitude","conf_metrs","has_organic_horizon","std_stock_kgm2","std_stock_complete","dist_fort_severn_km","flag_location_conf_poor"
42830,"manitoba",1965,51.2290382,-97.5323715,151,FALSE,8.0794,TRUE,841.014199771771,FALSE
43005,"manitoba",1966,51.130661,-97.0738373,151,TRUE,10.737,TRUE,825.597076249882,FALSE
43011,"manitoba",1966,51.1264381,-97.0368576,151,TRUE,15.51,TRUE,824.099398022974,FALSE
43311,"manitoba",1972,56.7766609,-98.9348602,151,FALSE,9.959,TRUE,699.793911953633,FALSE
43714,"manitoba",1976,49.6500015,-97.1169891,26,FALSE,15.96,TRUE,950.724506856402,FALSE
43716,"manitoba",1976,49.1987305,-98.2506638,16,FALSE,21.144,TRUE,1041.20439643546,FALSE
43816,"manitoba",1977,50.6562004,-97.0176315,16,FALSE,14.432,TRUE,860.899647200614,FALSE
43820,"manitoba",1977,50.7502785,-96.9966507,16,FALSE,12.152,TRUE,852.21818776287,FALSE
43829,"manitoba",1977,50.7285194,-96.9919128,16,FALSE,6.525,TRUE,853.762681729113,FALSE
43852,"manitoba",1977,49.2836304,-99.5284119,16,FALSE,10.35,TRUE,1094.72458827483,FALSE
43860,"manitoba",1977,50.5368195,-100.1758499,16,FALSE,6.041,TRUE,1030.33019087261,FALSE
43861,"manitoba",1977,50.5285988,-100.1432037,16,FALSE,6.44,TRUE,1029.19317494365,FALSE
43892,"manitoba",1978,49.8715591,-96.8787537,16,FALSE,11.16,TRUE,920.788863045897,FALSE
43896,"manitoba",1978,50.0822601,-96.6079025,16,FALSE,8.205,TRUE,890.394670374174,FALSE
43898,"manitoba",1978,50.0943184,-96.4557266,16,FALSE,17.934,TRUE,882.578280944245,FALSE
43899,"manitoba",1978,49.9788284,-96.5438538,16,TRUE,14,TRUE,896.560104826512,FALSE
43902,"manitoba",1978,50.0973282,-96.4290009,16,FALSE,13.01,TRUE,881.133077911472,FALSE
43927,"manitoba",1978,49.8122406,-98.5556107,16,FALSE,15.348,TRUE,1003.99435678185,FALSE
43930,"manitoba",1978,49.79813,-98.7363815,16,FALSE,4.032,TRUE,1013.93225261068,FALSE
