dataset,profile_id,gwl_class,gwl_label,gwl_is_wetland,worldcover,wc_label
Fort Severn,FS-01,182,swamp,TRUE,30,grassland
Fort Severn,FS-02,NA,NA,FALSE,30,grassland
Fort Severn,FS-03,182,swamp,TRUE,90,herbaceous wetland
Fort Severn,FS-04,NA,NA,FALSE,80,permanent water
Fort Severn,FS-05,182,swamp,TRUE,90,herbaceous wetland
Fort Severn,PM-01-A,182,swamp,TRUE,90,herbaceous wetland
Fort Severn,PM-02-A,182,swamp,TRUE,90,herbaceous wetland
Fort Severn,PM-03-A,182,swamp,TRUE,90,herbaceous wetland
CanPeat,1,NA,NA,FALSE,10,tree cover
CanPeat,10,NA,NA,FALSE,10,tree cover
CanPeat,100,NA,NA,FALSE,20,shrubland
CanPeat,1000,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1001,182,swamp,TRUE,90,herbaceous wetland
CanPeat,1002,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1003,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1004,181,permanent water,FALSE,30,grassland
CanPeat,1005,NA,NA,FALSE,30,grassland
CanPeat,1006,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1007,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1008,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1009,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,101,NA,NA,FALSE,10,tree cover
CanPeat,1010,NA,NA,FALSE,10,tree cover
CanPeat,1011,NA,NA,FALSE,30,grassland
CanPeat,1012,NA,NA,FALSE,30,grassland
CanPeat,1013,181,permanent water,FALSE,30,grassland
CanPeat,1014,NA,NA,FALSE,30,grassland
CanPeat,1015,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1016,182,swamp,TRUE,90,herbaceous wetland
CanPeat,1017,NA,NA,FALSE,30,grassland
CanPeat,1018,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1019,NA,NA,FALSE,90,herbaceous wetland
CanPeat,102,NA,NA,FALSE,100,moss and lichen
CanPeat,1020,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1021,181,permanent water,FALSE,30,grassland
CanPeat,1022,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1023,NA,NA,FALSE,30,grassland
CanPeat,1024,NA,NA,FALSE,10,tree cover
CanPeat,1025,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1026,181,permanent water,FALSE,30,grassland
CanPeat,1027,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1028,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1029,NA,NA,FALSE,90,herbaceous wetland
CanPeat,103,NA,NA,FALSE,100,moss and lichen
CanPeat,1030,NA,NA,FALSE,30,grassland
CanPeat,1031,181,permanent water,FALSE,30,grassland
CanPeat,1032,NA,NA,FALSE,30,grassland
CanPeat,1033,NA,NA,FALSE,30,grassland
CanPeat,1034,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1035,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1036,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1037,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1038,NA,NA,FALSE,30,grassland
CanPeat,1039,NA,NA,FALSE,90,herbaceous wetland
CanPeat,104,NA,NA,FALSE,100,moss and lichen
CanPeat,1040,182,swamp,TRUE,30,grassland
CanPeat,1041,181,permanent water,FALSE,30,grassland
CanPeat,1042,181,permanent water,FALSE,30,grassland
CanPeat,1043,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1044,181,permanent water,FALSE,10,tree cover
CanPeat,1045,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1046,181,permanent water,FALSE,30,grassland
CanPeat,1047,NA,NA,FALSE,30,grassland
CanPeat,1048,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1049,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,105,NA,NA,FALSE,100,moss and lichen
CanPeat,1050,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1051,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1052,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1053,182,swamp,TRUE,30,grassland
CanPeat,1054,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1055,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1056,NA,NA,FALSE,30,grassland
CanPeat,1057,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1058,NA,NA,FALSE,30,grassland
CanPeat,1059,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,106,NA,NA,FALSE,100,moss and lichen
CanPeat,1060,NA,NA,FALSE,30,grassland
CanPeat,1061,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1062,NA,NA,FALSE,30,grassland
CanPeat,1063,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1064,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1065,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1066,NA,NA,FALSE,30,grassland
CanPeat,1067,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1068,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1069,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,107,NA,NA,FALSE,10,tree cover
CanPeat,1070,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1071,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1072,NA,NA,FALSE,30,grassland
CanPeat,1073,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1074,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1075,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1076,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1077,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1078,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1079,182,swamp,TRUE,30,grassland
CanPeat,108,NA,NA,FALSE,10,tree cover
CanPeat,1080,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1081,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1082,NA,NA,FALSE,30,grassland
CanPeat,1083,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1084,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1085,NA,NA,FALSE,30,grassland
CanPeat,1086,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1087,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1088,181,permanent water,FALSE,30,grassland
CanPeat,1089,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,109,NA,NA,FALSE,10,tree cover
CanPeat,1090,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1091,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1092,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1093,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1094,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1095,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1096,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1097,181,permanent water,FALSE,10,tree cover
CanPeat,1098,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1099,NA,NA,FALSE,90,herbaceous wetland
CanPeat,11,180,non-wetland,FALSE,80,permanent water
CanPeat,110,NA,NA,FALSE,10,tree cover
CanPeat,1100,NA,NA,FALSE,30,grassland
CanPeat,1101,NA,NA,FALSE,10,tree cover
CanPeat,1102,NA,NA,FALSE,10,tree cover
CanPeat,1103,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1104,NA,NA,FALSE,30,grassland
CanPeat,1105,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1106,NA,NA,FALSE,10,tree cover
CanPeat,1107,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1108,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1109,181,permanent water,FALSE,30,grassland
CanPeat,111,NA,NA,FALSE,10,tree cover
CanPeat,1110,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1111,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1112,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1113,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1114,NA,NA,FALSE,10,tree cover
CanPeat,1115,181,permanent water,FALSE,10,tree cover
CanPeat,1116,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1117,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1118,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1119,181,permanent water,FALSE,30,grassland
CanPeat,112,NA,NA,FALSE,10,tree cover
CanPeat,1120,NA,NA,FALSE,30,grassland
CanPeat,1121,NA,NA,FALSE,30,grassland
CanPeat,1122,NA,NA,FALSE,30,grassland
CanPeat,1123,NA,NA,FALSE,10,tree cover
CanPeat,1124,NA,NA,FALSE,30,grassland
CanPeat,1125,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1126,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1127,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1128,182,swamp,TRUE,90,herbaceous wetland
CanPeat,1129,NA,NA,FALSE,90,herbaceous wetland
CanPeat,113,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1130,NA,NA,FALSE,10,tree cover
CanPeat,1131,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1132,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1133,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1134,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1135,NA,NA,FALSE,10,tree cover
CanPeat,1136,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1137,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1138,181,permanent water,FALSE,10,tree cover
CanPeat,1139,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,114,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1140,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1141,NA,NA,FALSE,90,herbaceous wetland
CanPeat,1142,181,permanent water,FALSE,90,herbaceous wetland
CanPeat,1143,NA,NA,FALSE,30,grassland
CanPeat,1144,NA,NA,FALSE,90,herbaceous wetland
