dataset,profile_id,latitude,longitude,year,n_layers,total_depth_cm,stock_kgm2_total,stock_kgm2_0_30,surface_OrgC_pct,mean_BDOD,reaches_30cm,stock_0_30_is_lower_bound,dist_fort_severn_km,soil_type,soil_type_basis,in_hbl
CanPeat,1,54.82,-102.02,1970,7,338,196.810037,28.120279999999994,50.48,0.12633333333333333,TRUE,FALSE,915.9511992930455,organic,peat database by construction,FALSE
CanPeat,10,54.73,-102.07,1970,6,223,115.10246899999999,15.929773999999998,47.87,0.1066,TRUE,FALSE,921.5650875607441,organic,peat database by construction,FALSE
CanPeat,100,65.8,-134.95,1972,16,340,119.40238900000001,15.610892,46.88,0.0973125,TRUE,FALSE,2697.965229996133,organic,peat database by construction,FALSE
CanPeat,1000,47.3727,-65.0386,1977,10,505,234.65900000000002,11.613,49,0.0966,TRUE,FALSE,1817.426730727685,organic,peat database by construction,FALSE
CanPeat,1001,47.8441,-64.5246,1977,6,290,131.08800000000002,11.376,48,0.09366666666666668,TRUE,FALSE,1813.8728302719799,organic,peat database by construction,FALSE
CanPeat,1002,47.4266,-64.909,1977,11,830,398.08884000000006,11.376,48,0.09590909090909092,TRUE,FALSE,1821.02001236931,organic,peat database by construction,FALSE
CanPeat,1003,47.2916,-64.9972,1977,7,530,253.80915000000005,11.139000000000001,47,0.09785714285714286,TRUE,FALSE,1825.6430468711712,organic,peat database by construction,FALSE
CanPeat,1004,47.2733,-65.0436,1977,9,620,294.06905000000006,11.613,49,0.09722222222222222,TRUE,FALSE,1824.3017055004584,organic,peat database by construction,FALSE
CanPeat,1005,47.7184,-64.6927,1977,10,640,305.26218000000006,11.376000000000001,48,0.0954,TRUE,FALSE,1812.865390337092,organic,peat database by construction,FALSE
CanPeat,1006,47.7383,-64.7523,1977,6,280,124.42623,11.376,48,0.0975,TRUE,FALSE,1808.010240697266,organic,peat database by construction,FALSE
CanPeat,1007,47.6014,-64.9308,1977,11,800,383.90937000000014,11.376,48,0.09881818181818182,TRUE,FALSE,1807.3203257062123,organic,peat database by construction,FALSE
CanPeat,1008,47.5943,-64.8508,1977,4,260,120.90435000000001,11.376,48,0.0955,TRUE,FALSE,1812.4478529547036,organic,peat database by construction,FALSE
CanPeat,1009,47.7266,-65.1686,1977,6,460,217.728,11.376,48,0.09733333333333334,TRUE,FALSE,1784.723879777501,organic,peat database by construction,FALSE
CanPeat,101,66.17,-134.68,1972,8,230,123.496129,9.666184,50.27,0.10628571428571429,TRUE,FALSE,2686.709160753194,organic,peat database by construction,FALSE
CanPeat,1010,47.7334,-65.335,1977,8,740,362.71142,12.087,51,0.11075,TRUE,FALSE,1774.6363924384318,organic,peat database by construction,FALSE
CanPeat,1011,47.7185,-65.2873,1977,9,710,349.8203800000001,11.376,48,0.10188888888888889,TRUE,FALSE,1778.442798829438,organic,peat database by construction,FALSE
CanPeat,1012,47.8225,-65.0402,1977,10,640,300.16650000000004,11.376,48,0.0966,TRUE,FALSE,1785.40871307347,organic,peat database by construction,FALSE
CanPeat,1013,47.7625,-65.1364,1977,5,260,111.975,11.376,48,0.0878,TRUE,FALSE,1784.0537214069718,organic,peat database by construction,FALSE
CanPeat,1014,47.8585,-64.5599,1977,8,760,363.4093000000001,11.139000000000001,47,0.09825,TRUE,FALSE,1810.8155851267393,organic,peat database by construction,FALSE
CanPeat,1015,47.857,-64.5237,1977,6,430,203.68395,11.376,48,0.09733333333333334,TRUE,FALSE,1813.0298689050642,organic,peat database by construction,FALSE
CanPeat,1016,47.818,-64.5537,1977,5,360,162.91200000000003,11.376,48,0.0922,TRUE,FALSE,1813.9914419929166,organic,peat database by construction,FALSE
CanPeat,1017,47.7898,-64.5942,1977,8,750,354.5853,11.376,48,0.0955,TRUE,FALSE,1813.597866284558,organic,peat database by construction,FALSE
CanPeat,1018,47.2583,-65.4418,1978,7,360,165.00801,11.376000000000001,48,0.093,TRUE,FALSE,1802.6075255751753,organic,peat database by construction,FALSE
CanPeat,1019,47.2954,-65.5073,1978,7,350,161.89869000000002,11.376000000000001,48,0.093,TRUE,FALSE,1796.171436778462,organic,peat database by construction,FALSE
CanPeat,102,65.62,-134.3,1972,11,171,113.65847700000002,15.702621,47.35,0.3198181818181818,TRUE,FALSE,2667.923439244653,organic,peat database by construction,FALSE
CanPeat,1020,47.5924,-65.3446,1978,10,450,210.39468000000002,11.376000000000001,48,0.0954,TRUE,FALSE,1784.1026764930502,organic,peat database by construction,FALSE
