core_id,sample_id,latitude,longitude_raw,thickness_cm,bulk_density_gcm3,soc_pct,lon_repaired,longitude,campaign,bd_flagged,stock_kgm2_segment,carbon_density_kgm2_per_cm,seg_index,depth_bottom_cm,depth_top_cm
FS-01,FS-01-1,55.965999,87.6282,10,1.762904698,3,TRUE,-87.6282,mineral,FALSE,5.2887140939999995,0.5288714094,1,10,0
FS-01,FS-01-2,55.965999,87.6282,10,1.59386606,4.1,TRUE,-87.6282,mineral,FALSE,6.534850845999999,0.6534850846,2,20,10
FS-01,FS-01-3,55.965999,87.6282,10,1.434964496,1.7,TRUE,-87.6282,mineral,FALSE,2.4394396432000005,0.24394396432000004,3,30,20
FS-02,FS-02-1,55.992611,87.62825,10,0.746665791,5.2,TRUE,-87.62825,mineral,FALSE,3.8826621132,0.38826621132,1,10,0
FS-02,FS-02-2,55.992611,87.62825,10,1.49701405,1.9,TRUE,-87.62825,mineral,FALSE,2.8443266950000003,0.2844326695,2,20,10
FS-02,FS-02-3,55.992611,87.62825,10,1.10304842,1.5,TRUE,-87.62825,mineral,FALSE,1.6545726299999997,0.16545726299999997,3,30,20
FS-03,FS-03-1,56.128917,87.87181,10,2.063281932,1,TRUE,-87.87181,mineral,TRUE,2.063281932,0.2063281932,1,10,0
FS-03,FS-03-2,56.128917,87.87181,10,2.181432451,0.5,TRUE,-87.87181,mineral,TRUE,1.0907162255,0.10907162255,2,20,10
FS-03,FS-03-3,56.128917,87.87181,10,2.136609922,0.5,TRUE,-87.87181,mineral,TRUE,1.068304961,0.1068304961,3,30,20
FS-04,FS-04-1,56.074278,87.79556,10,1.974657034,3.1,TRUE,-87.79556,mineral,FALSE,6.1214368054,0.61214368054,1,10,0
FS-04,FS-04-2,56.074278,87.79556,10,0.996859459,1.8,TRUE,-87.79556,mineral,FALSE,1.7943470262,0.17943470262,2,20,10
FS-04,FS-04-3,56.074278,87.79556,10,1.053735135,0.8,TRUE,-87.79556,mineral,FALSE,0.842988108,0.0842988108,3,30,20
FS-05,FS-05-1,56.079389,87.75622,10,0.279483076,8.6,TRUE,-87.75622,mineral,FALSE,2.4035544536,0.24035544535999998,1,10,0
FS-05,FS-05-2,56.079389,87.75622,10,2.036520107,1.1,TRUE,-87.75622,mineral,TRUE,2.2401721177000002,0.22401721177,2,20,10
FS-05,FS-05-3,56.079389,87.75622,10,1.624136903,0.9,TRUE,-87.75622,mineral,FALSE,1.4617232127000002,0.14617232127000002,3,30,20
PM-01-A,PM-01-A,56.098575,87.67978,14.5,0.0929,22.7,TRUE,-87.67978,peat,FALSE,3.0578035,0.210883,1,14.5,0
PM-02-A,PM-02-A-1,56.0996361,87.65064,15.2,0.0827,22.7,TRUE,-87.65064,peat,FALSE,2.8534807999999994,0.18772899999999998,1,15.2,0
PM-02-A,PM-02-A-2,56.0996361,87.65064,5.5,0.2662,1.57,TRUE,-87.65064,peat,FALSE,0.2298637,0.0417934,2,20.7,15.2
PM-03-A,PM-03-A-1,56.1103556,87.67839,8.625,0.0501,36.5,TRUE,-87.67839,peat,FALSE,1.5772106250000002,0.182865,1,8.625,0
PM-03-A,PM-03-A-2,56.1103556,87.67839,8.75,0.0759,42.4,TRUE,-87.67839,peat,FALSE,2.8158899999999996,0.321816,2,17.375,8.625
PM-03-A,PM-03-A-3,56.1103556,87.67839,7.85,0.1459,38.9,TRUE,-87.67839,peat,FALSE,4.45527535,0.567551,3,25.225,17.375
PM-03-A,PM-03-A-4,56.1103556,87.67839,5.5,0.2287,10.7,TRUE,-87.67839,peat,FALSE,1.3458994999999998,0.24470899999999995,4,30.725,25.225
