"sample_id","bulk_density_gcm3","soc_pct","ocd_supplied","ocd_recomputed_gcm3","abs_diff","ratio","reconciles"
"FS-01-1",1.762904698,3,0.052887141,0.05288714094,5.99999980255284e-11,1.00000000113449,TRUE
"FS-01-2",1.59386606,4.1,0.065348508,0.06534850846,4.59999996427207e-10,0.999999992960819,TRUE
"FS-01-3",1.434964496,1.7,0.024394396,0.024394396432,4.3200000174326e-10,0.999999982291015,TRUE
"FS-02-1",0.746665791,5.2,0.038826621,0.038826621132,1.32000001207278e-10,0.999999996600271,TRUE
"FS-02-2",1.49701405,1.9,0.028443267,0.02844326695,5.00000006675716e-11,1.00000000175789,TRUE
"FS-02-3",1.10304842,1.5,0.016545726,0.0165457263,2.99999997066536e-10,0.99999998186843,TRUE
"FS-03-1",2.063281932,1,0.020632819,0.02063281932,3.2000000219079e-10,0.999999984490728,TRUE
"FS-03-2",2.181432451,0.5,0.010907162,0.010907162255,2.55000000282113e-10,0.999999976620867,TRUE
"FS-03-3",2.136609922,0.5,0.01068305,0.01068304961,3.89999999308999e-10,1.00000003650643,TRUE
"FS-04-1",1.974657034,3.1,0.061214368,0.061214368054,5.40000058557588e-11,0.999999999117854,TRUE
"FS-04-2",0.996859459,1.8,0.01794347,0.017943470262,2.61999998085738e-10,0.999999985398588,TRUE
"FS-04-3",1.053735135,0.8,0.008429881,0.00842988108,7.99999996803358e-11,0.999999990509949,TRUE
"FS-05-1",0.279483076,8.6,0.024035545,0.024035544536,4.63999998145948e-10,1.00000001930474,TRUE
"FS-05-2",2.036520107,1.1,0.022401721,0.022401721177,1.77000001461147e-10,0.999999992098821,TRUE
"FS-05-3",1.624136903,0.9,0.014617232,0.014617232127,1.26999999058852e-10,0.999999991311625,TRUE
"PM-01-A",0.0929,22.7,0.0210883,0.0210883,3.46944695195361e-18,1,TRUE
"PM-02-A-1",0.0827,22.7,0.0187729,0.0187729,0,1,TRUE
"PM-02-A-2",0.2662,1.57,0.00417934,0.00417934,0,1,TRUE
"PM-03-A-1",0.0501,36.5,0.0182865,0.0182865,3.46944695195361e-18,1,TRUE
"PM-03-A-2",0.0759,42.4,0.0321816,0.0321816,0,1,TRUE
"PM-03-A-3",0.1459,38.9,0.0567551,0.0567551,0,1,TRUE
"PM-03-A-4",0.2287,10.7,0.0244709,0.0244709,3.46944695195361e-18,1,TRUE
