"label","area_km2","pct_of_aoi","mean_kgm2","has_core"
"Swamp",1254.0625,56.2722607061727,65.3377413525368,TRUE
"class 0",953.125,42.7686008357405,61.4228188853043,FALSE
"Non-wetland",12.375,0.555290686260762,54.6339083985888,FALSE
"Permanent water",3.6875,0.165465406512045,65.3024398305085,FALSE
"Salt marsh",2.6875,0.120593431864711,41.5048837209302,FALSE
"Mangrove",2.3125,0.103766441371961,44.491254054054,FALSE
"class 1",0.0625,0.0028044984154584,36.69975,FALSE
"class 3",0.0625,0.0028044984154584,39.33655,FALSE
"class 7",0.0625,0.0028044984154584,42.6149,FALSE
"class 177",0.0625,0.0028044984154584,40.4247,FALSE
"Flooded flat",0.0625,0.0028044984154584,42.7302,FALSE
"class 2",0,0,,FALSE
"class 22",0,0,,FALSE
"class 70",0,0,,FALSE
"class 117",0,0,,FALSE
"class 152",0,0,,FALSE
"class 164",0,0,,FALSE
