"cluster","mean_kgm2","sd_kgm2","n_pixels","area_km2","pct_of_aoi","carbon_layer","has_core"
0,67.2455407739523,12.8444600286744,10709,669.3125,30.033373531144,"SoilGrids 0-30 cm",TRUE
1,46.414870189099,9.66297880767046,15,0.9375,0.0420674762318759,"SoilGrids 0-30 cm",FALSE
2,60.2389076413129,12.7746310990655,4685,292.8125,13.1390750764226,"SoilGrids 0-30 cm",FALSE
3,60.9853359962772,11.5349358319595,7457,466.0625,20.9131446840733,"SoilGrids 0-30 cm",TRUE
4,63.6769472608937,13.2205468683012,12471,779.4375,34.9748997391816,"SoilGrids 0-30 cm",TRUE
5,43.7946801383896,8.09892635933982,320,20,0.897439492946686,"SoilGrids 0-30 cm",FALSE
0,60.1792019726225,12.6703933629287,803786,723.4074,34.5151329465521,"Li et al. full peat column",TRUE
1,59.4420883162615,18.9511576521107,237,0.2133,0.0101769457397029,"Li et al. full peat column",FALSE
2,58.2388795778157,12.6089203390132,462226,416.0034,19.8483076855693,"Li et al. full peat column",FALSE
3,54.9692810852939,12.4248134430647,497104,447.3936,21.3459933965793,"Li et al. full peat column",TRUE
4,64.7323245038045,12.606223319461,562557,506.3013,24.1565909894095,"Li et al. full peat column",TRUE
5,56.7056363549016,20.9034830938819,2883,2.5947,0.123798036150057,"Li et al. full peat column",FALSE
