"gwl_class","n_clusters_present","dominant_cluster_pct"
0,4,27.8111399732798
1,2,93.3333333333333
2,1,100
3,1,100
4,1,100
5,1,100
6,1,100
7,1,100
9,1,100
11,1,100
12,1,100
14,1,100
21,1,100
22,1,100
23,1,100
25,1,100
26,1,100
29,1,100
33,1,100
34,1,100
35,1,100
44,1,100
46,1,100
47,1,100
48,1,100
49,1,100
50,1,100
54,1,100
58,1,100
59,2,50
64,1,100
65,1,100
69,1,100
70,1,100
73,1,100
75,1,100
79,1,100
85,1,100
89,1,100
93,1,100
94,1,100
105,1,100
109,1,100
117,1,100
128,1,100
140,1,100
141,1,100
142,1,100
143,1,100
152,1,100
154,1,100
155,1,100
160,1,100
161,1,100
163,1,100
164,1,100
166,1,100
167,1,100
172,1,100
173,1,100
174,1,100
175,1,100
176,1,100
177,1,100
178,1,100
180,5,46.5862858449625
181,3,60.5423153160463
182,4,42.8849725638596
183,2,75.9625842941049
184,2,83.3333333333333
185,1,100
186,1,95.4224783240885
187,2,62.5743568213719
