"class","mean_kgm2","sd_kgm2","n_pixels","label","area_km2","pct_of_aoi","carbon_layer","landcover_source","depth_support"
182,65.3377413525368,13.0489253719192,20065,"Swamp",1254.0625,56.2722607061727,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
0,61.4228188853043,12.6804567689553,15250,"class 0",953.125,42.7686008357405,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
180,54.6339083985888,12.5005434247702,198,"Non-wetland",12.375,0.555290686260762,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
181,65.3024398305085,13.5320183929705,59,"Permanent water",3.6875,0.165465406512045,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
187,41.5048837209302,6.99747483188572,43,"Salt marsh",2.6875,0.120593431864711,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
186,44.491254054054,9.23936790964522,37,"Mangrove",2.3125,0.103766441371961,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
1,36.69975,0,1,"class 1",0.0625,0.0028044984154584,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
3,39.33655,0,1,"class 3",0.0625,0.0028044984154584,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
7,42.6149,0,1,"class 7",0.0625,0.0028044984154584,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
177,40.4247,0,1,"class 177",0.0625,0.0028044984154584,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
184,42.7302,0,1,"Flooded flat",0.0625,0.0028044984154584,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
2,,,0,"class 2",0,0,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
22,,,0,"class 22",0,0,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
70,,,0,"class 70",0,0,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
117,,,0,"class 117",0,0,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
152,,,0,"class 152",0,0,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
164,,,0,"class 164",0,0,"SoilGrids 0-30 cm","GWL_FCS30","0-30 cm"
90,64.4183144374703,12.8306058551533,19762,"Herbaceous wetland",1235.125,55.4224976862888,"SoilGrids 0-30 cm","WorldCover","0-30 cm"
30,63.8334292772224,13.0896517851724,7760,"Grassland",485,21.7629077039571,"SoilGrids 0-30 cm","WorldCover","0-30 cm"
20,61.9649391680705,13.2352809887264,5405,"Shrubland",337.8125,15.1583139355526,"SoilGrids 0-30 cm","WorldCover","0-30 cm"
10,60.7607335101763,12.9853618231496,2100,"Tree cover",131.25,5.88944667246263,"SoilGrids 0-30 cm","WorldCover","0-30 cm"
80,55.3976440790246,13.6681116664453,474,"Water",29.625,1.32933224892728,"SoilGrids 0-30 cm","WorldCover","0-30 cm"
100,69.3025236055276,12.7496082342069,79,"Moss and lichen",4.9375,0.221555374821213,"SoilGrids 0-30 cm","WorldCover","0-30 cm"
60,42.7620039473684,7.7626004570318,76,"Bare/sparse",4.75,0.213141879574838,"SoilGrids 0-30 cm","WorldCover","0-30 cm"
50,53.9145,0,1,"Built-up",0.0625,0.0028044984154584,"SoilGrids 0-30 cm","WorldCover","0-30 cm"
182,61.2773553023222,12.6904323170451,1228309,"Swamp",1105.4781,52.7444474455222,"Li et al. full peat column","GWL_FCS30","full column"
0,57.9498722601633,13.3027461020681,1028208,"class 0",925.3872,44.1519705701623,"Li et al. full peat column","GWL_FCS30","full column"
181,60.4972541293168,11.6278202660616,64453,"Permanent water",58.0077,2.76765689350664,"Li et al. full peat column","GWL_FCS30","full column"
180,58.709640815824,15.4543082879397,7275,"Non-wetland",6.5475,0.312393587579489,"Li et al. full peat column","GWL_FCS30","full column"
183,55.2762148405619,12.7933117688746,227,"Marsh",0.2043,0.00974753874646652,"Li et al. full peat column","GWL_FCS30","full column"
187,52.8983931253123,17.5135475506649,215,"Salt marsh",0.1935,0.00923225035458283,"Li et al. full peat column","GWL_FCS30","full column"
186,46.1642469010263,8.75443708398238,106,"Mangrove",0.0954,0.00455171412830595,"Li et al. full peat column","GWL_FCS30","full column"
90,58.6067274185322,12.9590231857686,1215651,"Herbaceous wetland",1094.0859,52.2009040734836,"Li et al. full peat column","WorldCover","full column"
30,62.1195933134415,13.1890880143122,565234,"Grassland",508.7106,24.2715432414989,"Li et al. full peat column","WorldCover","full column"
20,61.7293338718898,11.5651532896089,362355,"Shrubland",326.1195,15.559777103418,"Li et al. full peat column","WorldCover","full column"
10,55.7684728823505,13.72787744987,160588,"Tree cover",144.5292,6.89576102298487,"Li et al. full peat column","WorldCover","full column"
100,61.0400743790923,14.322064647155,14452,"Moss and lichen",13.0068,0.62057898662526,"Li et al. full peat column","WorldCover","full column"
80,61.2496422689717,18.3563085788263,10044,"Water",9.0396,0.431296384006651,"Li et al. full peat column","WorldCover","full column"
60,53.5159185392047,13.7495451406758,327,"Bare/sparse",0.2943,0.0140416086788306,"Li et al. full peat column","WorldCover","full column"
50,77.3027238237097,34.5815377446553,141,"Built-up",0.1269,0.00605463860463339,"Li et al. full peat column","WorldCover","full column"
70,70.6473159790039,0,1,"Snow and ice",9e-04,4.2940699323641e-05,"Li et al. full peat column","WorldCover","full column"
